SeasonPeriod;Name;ShotsGoals
09-10;Man City;0.2896825396825397
10-11;Man United;0.25161290322580643
11-12;Man United;0.24119241192411925
12-13;Man United;0.28762541806020064
13-14;Man City;0.42857142857142855
14-15;Man City;0.36403508771929827
15-16;Leicester;0.3756906077348066
16-17;Chelsea;0.4166666666666667
17-18;Man City;0.4061302681992337
18-19;Arsenal;0.4294117647058823
